Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/11/22	Cg	yH272	cta1Δ	MM	45 min	2 hr	0 mM	1000	526
07/11/22	Cg	yH272	cta1Δ	MO	45 min	2 hr	2.2 mM	1000	32
07/11/22	Cg	yH272	cta1Δ	MO	45 min	2 hr	2.5 mM	100	74
07/11/22	Cg	yH272	cta1Δ	PM	45 min	2 hr	0 mM	1000	605
07/11/22	Cg	yH272	cta1Δ	PO	45 min	2 hr	2.2 mM	1000	34
07/11/22	Cg	yH272	cta1Δ	PO	45 min	2 hr	2.5 mM	100	116
07/08/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	551
07/08/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	18
07/08/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	15
07/08/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	449
07/08/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	63
07/08/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	45
07/08/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	438
07/08/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	13
07/08/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	4
07/08/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	469
07/08/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	43
07/08/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	31
07/08/22	Cg	yH271	cta1Δ	MM	45 min	2 hr	0 mM	1000	466
07/08/22	Cg	yH271	cta1Δ	MO	45 min	2 hr	2.2 mM	1000	32
07/08/22	Cg	yH271	cta1Δ	MO	45 min	2 hr	2.5 mM	100	146
07/08/22	Cg	yH271	cta1Δ	PM	45 min	2 hr	0 mM	1000	501
07/08/22	Cg	yH271	cta1Δ	PO	45 min	2 hr	2.2 mM	1000	20
07/08/22	Cg	yH271	cta1Δ	PO	45 min	2 hr	2.5 mM	100	175
07/08/22	Cg	yH272	cta1Δ	MM	45 min	2 hr	0 mM	1000	438
07/08/22	Cg	yH272	cta1Δ	MO	45 min	2 hr	2.2 mM	1000	14
07/08/22	Cg	yH272	cta1Δ	MO	45 min	2 hr	2.5 mM	100	114
07/08/22	Cg	yH272	cta1Δ	PM	45 min	2 hr	0 mM	1000	413
07/08/22	Cg	yH272	cta1Δ	PO	45 min	2 hr	2.2 mM	1000	26
07/08/22	Cg	yH272	cta1Δ	PO	45 min	2 hr	2.5 mM	100	180
07/04/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	687
07/04/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	12
07/04/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	12
07/04/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	548
07/04/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	105
07/04/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	73
07/04/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	499
07/04/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	24
07/04/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	7
07/04/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	512
07/04/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	107
07/04/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	78
