Date,Species,Strain,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d090122,yH149,Kl,wt,PO,45min,2hr,2mM,1000,8,,0.0490797546,HT
d090122,yH149,Kl,wt,PO,45min,2hr,2.5mM,1000,16,,0.0981595092,HT
d090122,yH149,Kl,wt,PO,45min,2hr,3mM,1000,19,,0.1165644172,HT
d090122,yH149,Kl,wt,PO,45min,2hr,3.5mM,1000,13,,0.07975460123,HT
d090222,yH181,Cg,wt,MM,45min,2hr,Mock,1000,348,1,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,15mM,1000,148,0.4252873563,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,20mM,1000,84,0.2413793103,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,25mM,1000,107,0.3074712644,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,30mM,1000,77,0.2212643678,,HT
d090222,yH181,Cg,wt,MO,45min,2hr,35mM,1000,36,0.1034482759,,HT
d090222,yH181,Cg,wt,PM,45min,2hr,Mock,1000,560,,1,HT
d090222,yH181,Cg,wt,PO,45min,2hr,15mM,1000,210,,0.375,HT
d090222,yH181,Cg,wt,PO,45min,2hr,20mM,1000,247,,0.4410714286,HT
d090222,yH181,Cg,wt,PO,45min,2hr,25mM,1000,233,,0.4160714286,HT
d090222,yH181,Cg,wt,PO,45min,2hr,30mM,1000,211,,0.3767857143,HT
d090222,yH181,Cg,wt,PO,45min,2hr,35mM,1000,195,,0.3482142857,HT
d090222,yH154,Sc,wt,MM,45min,2hr,Mock,1000,297,1,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,19,0.06397306397,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,2mM,1000,30,0.101010101,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,2.5mM,1000,35,0.1178451178,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,3mM,1000,15,0.05050505051,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,3.5mM,1000,3,0.0101010101,,HT
d090222,yH154,Sc,wt,PM,45min,2hr,Mock,1000,262,,1,HT
d090222,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,26,,0.09923664122,HT
d090222,yH154,Sc,wt,PO,45min,2hr,2mM,1000,57,,0.2175572519,HT
d090222,yH154,Sc,wt,PO,45min,2hr,2.5mM,1000,34,,0.1297709924,HT
d090222,yH154,Sc,wt,PO,45min,2hr,3mM,1000,15,,0.0572519084,HT
d090222,yH154,Sc,wt,PO,45min,2hr,3.5mM,1000,28,,0.106870229,HT
d090222,yH149,Kl,wt,MM,45min,2hr,Mock,1000,281,1,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,1.5mM,1000,17,0.06049822064,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,2mM,1000,25,0.08896797153,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,2.5mM,1000,20,0.07117437722,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,3mM,1000,14,0.04982206406,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,3.5mM,1000,11,0.03914590747,,HT
d090222,yH149,Kl,wt,PM,45min,2hr,Mock,1000,228,,1,HT
d090222,yH149,Kl,wt,PO,45min,2hr,1.5mM,1000,49,,0.2149122807,HT
d090222,yH149,Kl,wt,PO,45min,2hr,2mM,1000,36,,0.1578947368,HT
d090222,yH149,Kl,wt,PO,45min,2hr,2.5mM,1000,27,,0.1184210526,HT
d090222,yH149,Kl,wt,PO,45min,2hr,3mM,1000,39,,0.1710526316,HT
d090222,yH149,Kl,wt,PO,45min,2hr,3.5mM,1000,31,,0.1359649123,HT
d091222,yH181,Cg,wt,MM,45min,2hr,Mock,1000,348,1,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,15mM,1000,148,0.4252873563,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,20mM,1000,84,0.2413793103,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,25mM,1000,107,0.3074712644,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,30mM,1000,77,0.2212643678,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,35mM,1000,36,0.1034482759,,HT
d091222,yH181,Cg,wt,PM,45min,2hr,Mock,1000,560,,1,HT
d091222,yH181,Cg,wt,PO,45min,2hr,15mM,1000,210,,0.375,HT
d091222,yH181,Cg,wt,PO,45min,2hr,20mM,1000,247,,0.4410714286,HT
d091222,yH181,Cg,wt,PO,45min,2hr,25mM,1000,233,,0.4160714286,HT
d091222,yH181,Cg,wt,PO,45min,2hr,30mM,1000,211,,0.3767857143,HT
d091222,yH181,Cg,wt,PO,45min,2hr,35mM,1000,195,,0.3482142857,HT
d091222,yH154,Sc,wt,MM,45min,2hr,Mock,1000,297,1,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,19,0.06397306397,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,2mM,1000,30,0.101010101,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,2.5mM,1000,35,0.1178451178,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,3mM,1000,15,0.05050505051,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,3.5mM,1000,3,0.0101010101,,HT
d091222,yH154,Sc,wt,PM,45min,2hr,Mock,1000,262,,1,HT
d091222,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,26,,0.09923664122,HT
