Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,B5,15820,14460,16089,6601.87,42.68,39.87
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,B6,15674,9842,10012,6191.91,55.66,46.41
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,B7,15815,12177,12576,5446,42.18,37.88
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,B8,14395,9928,10580,6252.55,55.84,46.82
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,C5,8616,6511,7724,5044.98,68.91,70.77
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,C6,15600,14424,13361,8398.74,52.43,51.91
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,C7,7158,4332,5360,3097.76,64.25,62.05
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,C8,14678,11177,12576,5908.78,48.47,44.13
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,D5,8759,6048,10196,4913.55,71.33,75.72
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,D6,15780,17659,19978,8887.28,47.22,46.74
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,D7,8236,3610,4732,2658.49,65.15,64.55
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,D8,17019,11463,12580,5602.49,45.6,41.32
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,E5,4657,2495,4630,2450.76,78.26,80.34
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,E7,4303,1710,1934,1734.37,79.37,75
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,F5,16727,18181,19988,8664.31,44.49,43.94
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,F7,15820,13858,15418,6376.9,42.53,39.21
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,G5,16468,19522,21357,8603.75,41.23,39.6
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,G7,16530,13575,12084,6243.76,42.35,39.15
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,H5,16697,19678,20898,9008.3,42.81,41.3
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,H7,16113,13143,15751,6100.77,42.83,39.76
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,E6,16735,14495,18690,7847.16,50.23,51.43
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,F6,17219,14238,20439,7799.06,50.36,51.98
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,G6,17747,16125,17883,8764.19,50.39,51.46
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,E8,15854,8057,8535,3831.65,44.21,41.16
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,F8,17007,8343,9151,3975.07,44.49,41.94
Rep3-0Pi-Ctrl,d011322-30min-0Pi-gtr1-R3,30min,G8,16533,8346,9841,4007.66,44.56,41.36
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,A5,15609,10399,11641,4852.78,43.35,39.96
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,A6,16122,10585,10583,4788.72,42.07,38.93
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,A7,14236,11498,11642,5290.23,42.75,39.81
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,A8,15097,11084,13627,5096.91,42.73,39.65
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,B5,15275,10705,10785,4533.97,39.81,36.69
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,B6,15007,9711,10580,5181.09,48.84,41.39
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,B7,14109,11812,12577,4900.76,38.93,36.58
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,B8,13824,10257,11415,5533.3,49.33,43.01
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,C5,5925,4204,7024,4412.77,83.97,66.51
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,C6,15382,9405,10779,4757.72,46.46,41.3
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,C7,6089,4732,6514,4556.62,78.33,68.15
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,C8,14816,9832,10383,4970.31,46.53,41.56
Rep1-0Pi-Ctrl,d121521-30min-0Pi-gtr1-R1,30min,D5,6074,3856,5426,2858.41,65.05,61
