GeneID	S3	S4	S19	S20	S20prime
CAGL0C01529g	522	675	490	706	935
CAGL0C01551g	207	292	519	756	904
CAGL0C01573g	3052	3870	1409	2066	2561
CAGL0C01595g	885	1007	1805	2014	2716
CAGL0C01617g	5	1	2	0	2
CAGL0C01639g	870	1140	29	25	46
CAGL0C01661g	203	261	341	465	604
CAGL0C01683g	778	980	744	943	1156
CAGL0C01705g	640	806	1540	1911	2736
CAGL0C01727g	405	535	602	825	1045
CAGL0C01749g	458	625	567	687	853
CAGL0C01771g	87	114	1289	1734	2252
CAGL0C01793g	152	192	1741	2758	3483
CAGL0C01815g	406	497	1329	2497	3030
CAGL0C01837g	114	142	278	398	490
CAGL0C01859g	0	5	4	5	11
CAGL0C01881g	286	404	504	720	913
CAGL0C01903g	115	152	123	179	211
CAGL0C01919g	2	6	4	11	8
CAGL0C01925g	327	413	81	82	119
CAGL0C01947g	2896	3421	1177	1436	1826
CAGL0C01969g	208	277	386	512	641
CAGL0C01991g	62	92	156	192	272
CAGL0C02013g	350	378	1401	1899	2393
CAGL0C02035g	1219	1607	2181	2757	3526
CAGL0C02057g	10	16	17	15	27
CAGL0C02079g	110	179	143	176	246
CAGL0C02101g	240	308	411	507	712
CAGL0C02123g	586	717	618	798	1082
CAGL0C02145g	347	402	780	1014	1284
CAGL0C02167g	437	604	786	1112	1486
CAGL0C02189g	7619	9350	2578	3053	3836
CAGL0C02211g	1044	1220	549	743	831
CAGL0C02233g	518	761	238	277	402
CAGL0C02255g	50	40	77	110	146
CAGL0C02277g	311	445	212	327	335
CAGL0C02299g	151	195	41	33	50
CAGL0C02321g	127	171	2442	3236	4102
CAGL0C02343g	3478	4383	339	514	657
CAGL0C02365g	11	6	188	230	301
CAGL0C02387g	60	101	35	62	68
CAGL0C02409g	164	208	272	377	508
CAGL0C02431g	248	310	185	274	330
CAGL0C02453g	534	714	373	966	1389
CAGL0C02475g	411	625	244	320	458
CAGL0C02497g	207	269	116	166	202
CAGL0C02519g	92	161	149	192	292
CAGL0C02541g	429	543	396	598	681
CAGL0C02563g	402	550	539	787	995
CAGL0C02585g	362	506	197	258	310
CAGL0C02607g	191	228	526	734	850
CAGL0C02623g	947	1200	3266	4630	6044
CAGL0C02629g	0	0	1	1	3
CAGL0C02651g	190	192	200	272	314
CAGL0C02673g	307	364	407	582	683
CAGL0C02695g	198	282	184	249	274
CAGL0C02717g	95	141	146	230	280
CAGL0C02739g	133	240	6635	8388	11653
CAGL0C02761g	813	1051	707	807	1089
CAGL0C02783g	1	0	1	3	3
CAGL0C02805g	194	286	119	174	229
CAGL0C02827g	335	355	534	764	932
CAGL0C02849g	207	268	408	493	661
CAGL0C02871g	134	159	239	321	374
CAGL0C02893g	368	414	807	1316	1534
CAGL0C02937g	95	96	91	141	165
CAGL0C02959g	816	1034	1737	2390	3082
CAGL0C02981g	572	857	268	430	530
CAGL0C03003g	360	456	121	157	227
CAGL0C03025g	568	760	539	626	753
CAGL0C03047g	635	854	390	766	992
CAGL0C03069g	931	1240	1460	2589	3674
CAGL0C03113g	515	737	5178	7262	9365
CAGL0C03135g	269	316	218	258	338
CAGL0C03179g	543	681	658	924	1217
CAGL0C03201g	356	408	855	1135	1439
CAGL0C03223g	624	841	2658	4449	6088
CAGL0C03245g	34	30	74	108	140
CAGL0C03267g	470	652	1389	1973	2384
CAGL0C03289g	299	267	92	117	164
CAGL0C03311g	50	78	153	213	281
CAGL0C03333g	218	279	406	474	580
CAGL0C03355g	163	221	54	73	97
CAGL0C03369g	1613	2077	267	415	483
CAGL0C03384r	6	8	5	6	2
CAGL0C03399g	594	771	674	930	1191
CAGL0C03421g	396	569	325	431	581
CAGL0C03432r	3	3	4	2	3
CAGL0C03443g	572	675	593	917	1250
CAGL0C03465g	201	260	704	981	1292
CAGL0C03487g	137	198	190	271	361
CAGL0C03509g	367	547	1300	1719	2016
CAGL0C03531g	491	700	36	77	77
CAGL0C03553g	136	172	260	764	980
CAGL0C03575g	0	0	0	0	0
CAGL0C03597g	608	851	2008	3388	4543
CAGL0C03608g	1192	1559	1693	2210	2681
CAGL0C03630g	1012	1173	349	517	617
CAGL0C03652g	319	425	556	680	1021
CAGL0C03674g	95	104	365	423	540
CAGL0C03696g	81	115	379	486	665
CAGL0C03740g	368	787	964	1282	1685
CAGL0C03762g	107	184	185	230	304
CAGL0C03784g	409	522	242	304	391
CAGL0C03828g	22	28	31	39	50
CAGL0C03850g	175	228	772	930	1165
CAGL0C03872g	23	20	75	97	142
CAGL0C03894g	268	367	770	1081	1355
CAGL0C03916g	39	43	90	128	177
CAGL0C04004g	37	51	181	269	292
CAGL0C04026g	192	264	351	491	552
CAGL0C04048g	778	1020	1211	1412	1690
CAGL0C04092g	146	198	528	644	765
CAGL0C04114g	2187	2530	1878	1909	2384
CAGL0C04136g	2177	2291	1469	1274	2047
CAGL0C04169g	232	268	259	303	361
CAGL0C04191g	194	275	3668	4906	6392
CAGL0C04213g	1	2	4	5	10
CAGL0C04235g	230	336	171	213	216
CAGL0C04257g	416	468	645	868	1029
CAGL0C04279g	318	404	42	73	101
CAGL0C04301g	2532	3149	902	1062	1450
CAGL0C04323g	11	20	221	282	357
CAGL0C04367g	420	483	1296	1676	2407
CAGL0C04389g	3570	4406	2092	1908	2318
CAGL0C04411g	1523	1965	930	843	1200
CAGL0C04433g	598	802	591	697	836
CAGL0C04455g	304	378	646	1227	1599
CAGL0C04477g	385	494	533	833	1132
CAGL0C04499g	273	335	321	470	642
CAGL0C04543g	95	104	1688	2490	3341
CAGL0C04565g	174	240	28	40	46
CAGL0C04587g	257	332	3405	3882	4866
CAGL0C04609g	156	217	1166	1577	2191
CAGL0C04631g	111	138	276	403	487
CAGL0C04697g	556	658	876	1161	1478
CAGL0C04719g	124	174	304	524	670
CAGL0C04741g	602	560	3981	10611	15106
CAGL0C04763g	295	315	475	659	778
CAGL0C04785g	4	8	8	17	16
CAGL0C04807g	454	449	703	890	1134
CAGL0C04829g	81	147	84	93	141
CAGL0C04851g	196	240	116	127	159
CAGL0C04873g	526	715	616	819	1125
CAGL0C04895g	132	212	453	629	766
CAGL0C04917g	637	973	281	309	488
CAGL0C04933g	5	8	1	2	2
CAGL0C04939g	65	96	973	1484	1734
CAGL0C04961g	262	393	631	848	1119
CAGL0C04983g	1428	1756	672	809	1065
CAGL0C05005g	70	94	105	124	168
CAGL0C05027g	15	15	1578	2064	2617
CAGL0C05049g	455	628	898	1275	1605
CAGL0C05071g	284	356	826	1016	1305
CAGL0C05093g	577	690	1932	2505	3220
CAGL0C05115g	378	600	100	150	206
CAGL0C05137g	2315	3122	5532	8225	11278
CAGL0C05159g	457	624	1858	2594	3050
CAGL0C05181g	896	1272	164	180	241
CAGL0C05203g	261	368	335	440	609
CAGL0C05225g	177	272	414	559	667
CAGL0C05247g	484	683	899	1096	1431
CAGL0C05269g	145	253	839	1086	1356
CAGL0C05291g	293	390	435	602	689
CAGL0C05313g	1220	1619	610	810	972
CAGL0C05335g	55	49	79	102	130
CAGL0C05357g	411	546	464	607	774
CAGL0C05379g	8882	9975	368	317	470
CAGL0C05423g	170	239	267	348	510
CAGL0C05445g	159	170	219	274	312
CAGL0C05461g	227	268	217	275	348
CAGL0C05489g	104	138	631	720	976
CAGL0C05511g	883	1172	1510	1907	2608
CAGL0C05533g	69	90	320	543	745
CAGL0C05555g	110	151	664	826	1042
CAGL0C05577g	2	2	7	9	7
CAGL0C05599g	224	213	203	270	319
CAGL0C05643g	0	1	2	2	2
CAGL0D00154g	3	5	313	150	230
CAGL0D00176g	5697	6192	1344	868	1263
