Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV
d032323-DCFCA-R4,DCFCA-DMSO,Cg-b1b2,H6.fcs,H6,Experiment,None,,High_ROS,BL1-H,,2924,97,30.144,4.535,9.747,1326,N/A,1149,N/A,1036,N/A,1868.52,N/A,140.87,N/A,143.81,N/A,12.52
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,A11.fcs,A11,Experiment,None,,High_ROS,BL1-H,,5792,218,26.569,6.253,19.307,1807,N/A,1205,N/A,1012,N/A,2468.61,N/A,136.59,N/A,215.72,N/A,17.91
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,A12.fcs,A12,Experiment,None,,High_ROS,BL1-H,,5120,248,20.645,5.416,17.067,1979,N/A,1209,N/A,1013,N/A,2912.46,N/A,147.17,N/A,229.8,N/A,19.01
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,B11.fcs,B11,Experiment,None,,High_ROS,BL1-H,,4350,212,20.519,4.266,14.5,1458,N/A,1152,N/A,1013,N/A,3475.8,N/A,238.38,N/A,149,N/A,12.94
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,B12.fcs,B12,Experiment,None,,High_ROS,BL1-H,,4811,300,16.037,4.568,16.414,1899,N/A,1150,N/A,1013,N/A,6920.44,N/A,364.42,N/A,145.29,N/A,12.63
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,C11.fcs,C11,Experiment,None,,High_ROS,BL1-H,,11972,254,47.134,14.161,39.907,3647,N/A,1279,N/A,1013,N/A,8637.13,N/A,236.8,N/A,286.88,N/A,22.44
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,C12.fcs,C12,Experiment,None,,High_ROS,BL1-H,,9738,300,32.46,11.795,35.091,2410,N/A,1235,N/A,1012,N/A,6749.56,N/A,280.09,N/A,231.29,N/A,18.73
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,D11.fcs,D11,Experiment,None,,High_ROS,BL1-H,,13722,272,50.449,15.731,45.74,9018,N/A,1466,N/A,1013,N/A,15553.07,N/A,172.47,N/A,591.56,N/A,40.35
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,D12.fcs,D12,Experiment,None,,High_ROS,BL1-H,,16706,300,55.687,19.619,55.687,19374,N/A,11501,N/A,40275,N/A,20241.45,N/A,104.48,N/A,15383.46,N/A,133.76
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,E11.fcs,E11,Experiment,None,,High_ROS,BL1-H,,23147,300,77.157,25.132,78.239,36559,N/A,36945,N/A,42245,N/A,24113.66,N/A,65.96,N/A,24962.54,N/A,67.57
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,E12.fcs,E12,Experiment,None,,High_ROS,BL1-H,,24263,300,80.877,29.151,81.559,37798,N/A,38657,N/A,49033,N/A,22413.99,N/A,59.3,N/A,22130.77,N/A,57.25
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,High_ROS,BL1-H,,3499,226,15.482,3.817,11.663,1997,N/A,1186,N/A,1013,N/A,4693.57,N/A,234.97,N/A,203.12,N/A,17.13
d032323-DCFCA-R4,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,High_ROS,BL1-H,,3388,240,14.117,3.691,11.293,2315,N/A,1174,N/A,1012,N/A,5579.98,N/A,241.01,N/A,183.84,N/A,15.66
