Plate,Sample,Treatment,Species,Gate,X Parameter,Count,%Total,%Gated,X Mean,X Median,X Peak,X SD,X %CV,X rSD,X %rCV
d032523-DCFCA-R6,A12,0Pi,Sc,High_ROS,BL1-H,22482,31.308,74.94,2398,1770,1118,2118.57,88.36,769.47,43.47
d032523-DCFCA-R6,B11,0.2mM,Sc,High_ROS,BL1-H,6403,6.766,21.343,1526,1166,1035,6089.68,398.93,164.57,14.11
d032523-DCFCA-R6,B12,0.2mM,Sc,High_ROS,BL1-H,9376,12.747,31.253,1320,1215,1012,561.98,42.56,211.27,17.39
d032523-DCFCA-R6,C11,1mM,Sc,High_ROS,BL1-H,21317,26.546,71.057,19729,10051,44454,21421.35,108.58,13178.83,131.12
d032523-DCFCA-R6,C12,1mM,Sc,High_ROS,BL1-H,17602,24.486,58.673,5807,1530,1012,10673.31,183.8,604.9,39.54
d032523-DCFCA-R6,D11,2mM,Sc,High_ROS,BL1-H,28045,37.291,93.483,36231,37867,45513,21156.48,58.39,20354.62,53.75
d032523-DCFCA-R6,D12,2mM,Sc,High_ROS,BL1-H,25175,36.828,83.917,18870,15878,30872,17146.31,90.86,20787.53,130.92
d032523-DCFCA-R6,E11,10mM,Sc,High_ROS,BL1-H,29770,38.871,99.233,39255,38876,46624,19445.03,49.53,18865.34,48.53
d032523-DCFCA-R6,E12,10mM,Sc,High_ROS,BL1-H,28818,43.932,96.06,32339,32486,38321,16114.47,49.83,14395.3,44.31
d032523-DCFCA-R6,H11,Ctrl,Sc,High_ROS,BL1-H,5131,5.56,17.103,1668,1183,1036,3141.2,188.3,183.84,15.54
d032523-DCFCA-R6,H12,Ctrl,Sc,High_ROS,BL1-H,23701,29.159,79.003,2801,1889,1070,2854.36,101.9,911.8,48.27
d032423-DCFCA-R5,A4,0Pi,Cg,High_ROS,BL1-H,10686,9.52,35.62,1316,1232,1047,341.58,25.96,222.39,18.05
d032423-DCFCA-R5,B4,0Pi,Cg,High_ROS,BL1-H,3074,4.496,10.069,1227,1149,1012,538.87,43.91,144.55,12.59
d032423-DCFCA-R5,C4,0.2mM,Cg,High_ROS,BL1-H,5478,7.609,17.834,1261,1175,1013,491.9,39.02,170.5,14.51
d032423-DCFCA-R5,D4,0.2mM,Cg,High_ROS,BL1-H,8008,11.155,26.313,1294,1208,1013,597.72,46.2,200.15,16.57
d032423-DCFCA-R5,E4,1mM,Cg,High_ROS,BL1-H,8945,13.609,29.295,1303,1216,1013,681.68,52.33,204.6,16.83
d032423-DCFCA-R5,F4,1mM,Cg,High_ROS,BL1-H,8077,12.313,26.408,1584,1223,1012,4925.75,310.89,217.94,17.82
d032423-DCFCA-R5,G4,2mM,Cg,High_ROS,BL1-H,7072,11.308,23.3,9981,1602,1047,18700.02,187.36,811.72,50.69
d032423-DCFCA-R5,H4,2mM,Cg,High_ROS,BL1-H,2773,4.08,9.013,1261,1147,1013,1188.2,94.22,143.81,12.54
d032423-DCFCA-R5,A6,10mM,Cg,High_ROS,BL1-H,5305,7.908,17.235,1250,1171,1024,501.3,40.09,170.5,14.56
d032423-DCFCA-R5,B6,10mM,Cg,High_ROS,BL1-H,3786,5.526,12.136,1362,1165,1036,1816.42,133.38,161.6,13.87
d032423-DCFCA-R5,C6,20mM,Cg,High_ROS,BL1-H,7547,10.797,24.673,1329,1197,1037,1564.52,117.72,189.77,15.85
d032423-DCFCA-R5,D6,20mM,Cg,High_ROS,BL1-H,9043,13.423,29.681,1370,1213,1036,2593.5,189.26,204.6,16.87
