Date,Species,Strain,Genotype,Len_1,Len_2,H2O2,Dilutions,Count_MO_MM,MO/MM,PO/PM,MO/MM_percent,PO/PM_percent,ASR_score,Experimenter
d091222,yH154,Sc,wt,45min,2hr,2mM,1000,30,0.101010101,0.2175572519,10.1010101,21.75572519,2.153816794,HT
d091222,yH154,Sc,wt,45min,2hr,2.5mM,1000,35,0.1178451178,0.1297709924,11.78451178,12.97709924,1.101199564,HT
d091222,yH154,Sc,wt,45min,2hr,3mM,1000,15,0.05050505051,0.0572519084,5.050505051,5.72519084,1.133587786,HT
d091222,yH154,Sc,wt,45min,2hr,3.5mM,1000,3,0.0101010101,0.106870229,1.01010101,10.6870229,10.58015267,HT
d091222,yH149,Kl,wt,45min,2hr,Mock,1000,281,1,1,100,100,1,HT
d091222,yH149,Kl,wt,45min,2hr,1.5mM,1000,17,0.06049822064,0.2149122807,6.049822064,21.49122807,3.552373581,HT
d091222,yH149,Kl,wt,45min,2hr,2mM,1000,25,0.08896797153,0.1578947368,8.896797153,15.78947368,1.774736842,HT
d091222,yH149,Kl,wt,45min,2hr,2.5mM,1000,20,0.07117437722,0.1184210526,7.117437722,11.84210526,1.663815789,HT
d091222,yH149,Kl,wt,45min,2hr,3mM,1000,14,0.04982206406,0.1710526316,4.982206406,17.10526316,3.433270677,HT
d091222,yH149,Kl,wt,45min,2hr,3.5mM,1000,11,0.03914590747,0.1359649123,3.914590747,13.59649123,3.473285487,HT
d092822,yH001,Cg,wt,MM,,Mock,1000,515,1,1,100,100,1,JL
d092822,yH001,Cg,wt,MO,,20mM,1000,138,0.267961165,0.476861167,26.7961165,47.6861167,1.779590587,JL
d092822,yH154,Sc,wt,MM,,Mock,1000,246,1,1,100,100,1,JL
d092822,yH154,Sc,wt,MO,,0.5mM,1000,40,0.162601626,0.118466899,16.2601626,11.8466899,0.7285714289,JL
d092822,yH154,Sc,wt,MO,,1mM,1000,23,0.09349593496,0.149825784,9.349593496,14.9825784,1.602484472,JL
d092822,yH154,Sc,wt,MO,,1.5mM,1000,18,0.07317073171,0.1045296167,7.317073171,10.45296167,1.428571428,JL
d092922,yH001,Cg,wt,MM,,Mock,1000,597,1,1,100,100,1,JL
d092922,yH001,Cg,wt,MO,,20mM,1000,115,0.1926298157,0.3617021277,19.26298157,36.17021277,1.877705828,JL
d092922,yH154,Sc,wt,MM,,Mock,1000,277,1,1,100,100,1,JL
d092922,yH154,Sc,wt,MO,,0.2mM,500,156,0.2815884477,0.3448844884,28.15884477,34.48844884,1.224782093,JL
d092922,yH154,Sc,wt,MO,,0.5mM,500,73,0.1317689531,0.1650165017,13.17689531,16.50165017,1.252317013,JL
d092922,yH154,Sc,wt,MO,,1mM,500,28,0.05054151625,0.08745874587,5.054151625,8.745874587,1.730433758,JL
d092922,yH154,Sc,wt,MO,,1.5mM,500,20,0.03610108303,0.05940594059,3.610108303,5.940594059,1.645544554,JL
