# Date: The experiments conducted date
# Strain: lab strain ID
# Species: Cg - C. glabrata; Sc - S. cerevisiae
# Genotype: wt - wild type strains without any genetic manipulation
# Group: treatment type; MM - Mock treatment as the primary stress and secondary stress; MO - Mock treatment as the primary stress and H2O2 stress as the secondary stress; PM: Phosphate starvation as the primary stress and mock treatment as the secondary stress; PO: phosphate starvation as the primary stress and H2O2 as the secondarys tress,,,,,,,,,,,,
# Len_1: Primary stress treatment time
# Len_2: Secondaty stress treatment time
# H2O2: H2O2 stress concentration in mM; Mock - 0mM
# Dilutions: the final dilutions for the culture used for CFU Count
# Count: CFU count
# MO/MM: survival rate on H2O2 stress without the primary stress (calculated from the corresponding MO count)
# PO/PM: survival rate on H2O2 stress with phosphate starvation as the primary stress (calculated from the corresponding PO count)
# Experimenter: the person who did the experiments
Date,Strain,Species,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d090222,yH181,Cg,wt,PO,45min,2hr,20mM,1000,247,,0.441071429,HT
d090222,yH181,Cg,wt,PO,45min,2hr,25mM,1000,233,,0.416071429,HT
d090222,yH181,Cg,wt,PO,45min,2hr,30mM,1000,211,,0.376785714,HT
d090222,yH181,Cg,wt,PO,45min,2hr,35mM,1000,195,,0.348214286,HT
d090222,yH154,Sc,wt,MM,45min,2hr,Mock,1000,297,1,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,19,0.063973064,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,2mM,1000,30,0.101010101,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,2.5mM,1000,35,0.117845118,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,3mM,1000,15,0.050505051,,HT
d090222,yH154,Sc,wt,MO,45min,2hr,3.5mM,1000,3,0.01010101,,HT
d090222,yH154,Sc,wt,PM,45min,2hr,Mock,1000,262,,1,HT
d090222,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,26,,0.099236641,HT
d090222,yH154,Sc,wt,PO,45min,2hr,2mM,1000,57,,0.217557252,HT
d090222,yH154,Sc,wt,PO,45min,2hr,2.5mM,1000,34,,0.129770992,HT
d090222,yH154,Sc,wt,PO,45min,2hr,3mM,1000,15,,0.057251908,HT
d090222,yH154,Sc,wt,PO,45min,2hr,3.5mM,1000,28,,0.106870229,HT
d090222,yH149,Kl,wt,MM,45min,2hr,Mock,1000,281,1,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,1.5mM,1000,17,0.060498221,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,2mM,1000,25,0.088967972,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,2.5mM,1000,20,0.071174377,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,3mM,1000,14,0.049822064,,HT
d090222,yH149,Kl,wt,MO,45min,2hr,3.5mM,1000,11,0.039145907,,HT
d090222,yH149,Kl,wt,PM,45min,2hr,Mock,1000,228,,1,HT
d090222,yH149,Kl,wt,PO,45min,2hr,1.5mM,1000,49,,0.214912281,HT
d090222,yH149,Kl,wt,PO,45min,2hr,2mM,1000,36,,0.157894737,HT
d090222,yH149,Kl,wt,PO,45min,2hr,2.5mM,1000,27,,0.118421053,HT
d090222,yH149,Kl,wt,PO,45min,2hr,3mM,1000,39,,0.171052632,HT
d090222,yH149,Kl,wt,PO,45min,2hr,3.5mM,1000,31,,0.135964912,HT
d091222,yH181,Cg,wt,MM,45min,2hr,Mock,1000,348,1,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,15mM,1000,148,0.425287356,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,20mM,1000,84,0.24137931,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,25mM,1000,107,0.307471264,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,30mM,1000,77,0.221264368,,HT
d091222,yH181,Cg,wt,MO,45min,2hr,35mM,1000,36,0.103448276,,HT
d091222,yH181,Cg,wt,PM,45min,2hr,Mock,1000,560,,1,HT
d091222,yH181,Cg,wt,PO,45min,2hr,15mM,1000,210,,0.375,HT
d091222,yH181,Cg,wt,PO,45min,2hr,20mM,1000,247,,0.441071429,HT
d091222,yH181,Cg,wt,PO,45min,2hr,25mM,1000,233,,0.416071429,HT
d091222,yH181,Cg,wt,PO,45min,2hr,30mM,1000,211,,0.376785714,HT
d091222,yH181,Cg,wt,PO,45min,2hr,35mM,1000,195,,0.348214286,HT
d091222,yH154,Sc,wt,MM,45min,2hr,Mock,1000,297,1,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,19,0.063973064,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,2mM,1000,30,0.101010101,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,2.5mM,1000,35,0.117845118,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,3mM,1000,15,0.050505051,,HT
d091222,yH154,Sc,wt,MO,45min,2hr,3.5mM,1000,3,0.01010101,,HT
d091222,yH154,Sc,wt,PM,45min,2hr,Mock,1000,262,,1,HT
d091222,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,26,,0.099236641,HT
d091222,yH154,Sc,wt,PO,45min,2hr,2mM,1000,57,,0.217557252,HT
d091222,yH154,Sc,wt,PO,45min,2hr,2.5mM,1000,34,,0.129770992,HT
d091222,yH154,Sc,wt,PO,45min,2hr,3mM,1000,15,,0.057251908,HT
d091222,yH154,Sc,wt,PO,45min,2hr,3.5mM,1000,28,,0.106870229,HT
d091222,yH149,Kl,wt,MM,45min,2hr,Mock,1000,281,1,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,1.5mM,1000,17,0.060498221,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,2mM,1000,25,0.088967972,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,2.5mM,1000,20,0.071174377,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,3mM,1000,14,0.049822064,,HT
d091222,yH149,Kl,wt,MO,45min,2hr,3.5mM,1000,11,0.039145907,,HT
d091222,yH149,Kl,wt,PM,45min,2hr,Mock,1000,228,,1,HT
d091222,yH149,Kl,wt,PO,45min,2hr,1.5mM,1000,49,,0.214912281,HT
d091222,yH149,Kl,wt,PO,45min,2hr,2mM,1000,36,,0.157894737,HT
d091222,yH149,Kl,wt,PO,45min,2hr,2.5mM,1000,27,,0.118421053,HT
d091222,yH149,Kl,wt,PO,45min,2hr,3mM,1000,39,,0.171052632,HT
d091222,yH149,Kl,wt,PO,45min,2hr,3.5mM,1000,31,,0.135964912,HT
d092822,yH001,Cg,wt,MM,45min,2hr,Mock,1000,515,1,,JL
d092822,yH001,Cg,wt,MO,45min,2hr,20mM,1000,138,0.267961165,,JL
d092822,yH001,Cg,wt,PM,45min,2hr,Mock,1000,497,,1,JL
d092822,yH001,Cg,wt,PO,45min,2hr,20mM,1000,237,,0.476861167,JL
d092822,yH154,Sc,wt,MM,45min,2hr,Mock,1000,246,1,,JL
d092822,yH154,Sc,wt,MO,45min,2hr,0.5mM,1000,40,0.162601626,,JL
d092822,yH154,Sc,wt,MO,45min,2hr,1mM,1000,23,0.093495935,,JL
d092822,yH154,Sc,wt,MO,45min,2hr,1.5mM,1000,18,0.073170732,,JL
d092822,yH154,Sc,wt,PM,45min,2hr,Mock,1000,287,,1,JL
d092822,yH154,Sc,wt,PO,45min,2hr,0.5mM,1000,34,,0.118466899,JL
d092822,yH154,Sc,wt,PO,45min,2hr,1mM,1000,43,,0.149825784,JL
d092822,yH154,Sc,wt,PO,45min,2hr,1.5mM,1000,30,,0.104529617,JL
d092922,yH001,Cg,wt,MM,45min,2hr,Mock,1000,597,1,,JL
d092922,yH001,Cg,wt,MO,45min,2hr,20mM,1000,115,0.192629816,,JL
d092922,yH001,Cg,wt,PM,45min,2hr,Mock,1000,1034,,1,JL
d092922,yH001,Cg,wt,PO,45min,2hr,20mM,1000,374,,0.361702128,JL
d092922,yH154,Sc,wt,MM,45min,2hr,Mock,1000,277,1,,JL
d092922,yH154,Sc,wt,MO,45min,2hr,0.2mM,500,156,0.281588448,,JL
d092922,yH154,Sc,wt,MO,45min,2hr,0.5mM,500,73,0.131768953,,JL
d092922,yH154,Sc,wt,MO,45min,2hr,1mM,500,28,0.050541516,,JL
d092922,yH154,Sc,wt,MO,45min,2hr,1.5mM,500,20,0.036101083,,JL
